@relation Donnees_Pretraite

@attribute site_name {Rekrute,marocemploi.net,talentspartners.com,www.moncallcenter.ma, Marocannonces.com,Emploi.ma,Anapec}
@attribute ville{casablanca, inezganeaitmelloul, berkane, meknes, marrakech, agadir, eljadida, taroudant, tetouan, zagora, tanger, essaouira, kenitra, rabat, midelt, tinghir, ouarzazate, sidikacem, fes, nouaceur, mohammedia, sale, bouznika, chtoukaaitbaha, errachidia, azilal, benimellal, khouribga, darbouazza, laayoune, brussels, oujda, alhaouz, alhoceima, plusieursvilles, autreville}
@attribute sector {commercial,education,informatique,agriculture,immobilier,accueil,santé,droit,transport,tourisme,comptabilité,industrie,biologie,marketing,restauration,agro,}
@attribute Type_de_contrat {0,1,2,3,4,5,6,7,8}
@attribute Language {français,néerlandais,italien,portugais,anglais,allemand,arabe,tarifit,tamazight}
@attribute Experience_level numeric
@attribute Formation {Informatique,Assistant,Cuisinier,SAV,Enseignement,RH,Commercial,Qualité,Ingénierie,Production,Marketing,Comptabilité,BTP,Surveillance,Logistique, Achat,Import,Bureau,Manager,Santé,Juridique,Mécanicien}
@attribute Salaire numeric
@attribute Travail_a_distance {0,1,2,3}

@data
Anapec,eljadida,santé,8,arabe,7,Informatique,4000,0
Anapec,taroudant,agriculture,8,arabe,6,Informatique,4000,0
Anapec,tetouan,industrie,1,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,1,arabe,7,Informatique,4000,0
Anapec,eljadida,santé,8,arabe,7,Informatique,4000,0
Anapec,taroudant,agriculture,8,arabe,6,Informatique,4000,0
Anapec,tetouan,industrie,1,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,kenitra,santé,2,arabe,6,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,agadir,agriculture,1,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,2,anglais,7,Informatique,4000,0
Anapec,meknes,industrie,8,arabe,2,Informatique,4000,0
Anapec,marrakech,industrie,2,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,6,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,2,arabe,7,Informatique,4000,0
Anapec,khouribga,industrie,7,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,8,arabe,1,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,kenitra,santé,2,arabe,6,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,agadir,agriculture,1,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,2,anglais,7,Informatique,4000,0
Anapec,meknes,industrie,8,arabe,2,Informatique,4000,0
Anapec,marrakech,industrie,2,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,kenitra,santé,2,arabe,6,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,agadir,agriculture,1,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,2,anglais,7,Informatique,4000,0
Anapec,meknes,industrie,8,arabe,2,Informatique,4000,0
Anapec,marrakech,industrie,2,arabe,6,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,midelt,industrie,2,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,agadir,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,3,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,2,Informatique,4000,0
Anapec,tinghir,industrie,8,tamazight,7,Informatique,4000,0
Anapec,marrakech,industrie,7,arabe,7,Informatique,4000,0
Anapec,casablanca,santé,8,arabe,7,Informatique,4000,0
Anapec,agadir,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,3,Informatique,4000,0
Anapec,autreville,santé,1,arabe,3,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,3,Informatique,4000,0
Anapec,casablanca,agriculture,2,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,eljadida,industrie,1,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,1,anglais,2,Informatique,4000,0
Anapec,alhaouz,industrie,7,arabe,7,Informatique,4000,0
Anapec,alhoceima,industrie,8,tarifit,6,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,eljadida,industrie,1,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,1,anglais,2,Informatique,4000,0
Anapec,alhaouz,industrie,7,arabe,7,Informatique,4000,0
Anapec,alhoceima,industrie,8,tarifit,6,Informatique,4000,0
Anapec,azilal,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,1,arabe,1,Informatique,4000,0
Anapec,kenitra,industrie,8,arabe,6,Informatique,4000,0
Anapec,autreville,santé,8,arabe,7,Informatique,4000,0
Anapec,tinghir,agriculture,2,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,errachidia,agriculture,2,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,1,Informatique,4000,0
Anapec,agadir,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,errachidia,agriculture,2,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,1,Informatique,4000,0
Anapec,agadir,industrie,8,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,7,Informatique,4000,0
Anapec,taroudant,industrie,8,arabe,1,Informatique,4000,0
Anapec,taroudant,industrie,8,arabe,1,Informatique,4000,0
Anapec,kenitra,industrie,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,2,Informatique,4000,0
Anapec,rabat,industrie,7,arabe,7,Informatique,4000,0
Anapec,rabat,industrie,7,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,eljadida,industrie,8,arabe,6,Informatique,4000,0
Anapec,autreville,education,8,arabe,7,Informatique,4000,0
Anapec,casablanca,industrie,8,arabe,2,Informatique,4000,0
Anapec,rabat,industrie,7,arabe,7,Informatique,4000,0
Anapec,rabat,industrie,7,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,2,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,eljadida,industrie,8,arabe,6,Informatique,4000,0
Anapec,autreville,education,8,arabe,7,Informatique,4000,0
Anapec,ouarzazate,education,2,arabe,6,Informatique,4000,0
Anapec,tetouan,industrie,1,anglais,2,Informatique,4000,0
Anapec,meknes,industrie,7,arabe,7,Informatique,4000,0
Anapec,sidikacem,industrie,8,arabe,7,Informatique,4000,0
Anapec,eljadida,education,8,arabe,7,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,ouarzazate,agriculture,2,arabe,6,Informatique,4000,0
Anapec,autreville,santé,1,arabe,3,Informatique,4000,0
Anapec,autreville,santé,7,arabe,2,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,meknes,industrie,7,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,3,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,2,anglais,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,tetouan,industrie,1,anglais,2,Informatique,4000,0
Anapec,meknes,industrie,7,arabe,7,Informatique,4000,0
Anapec,sidikacem,industrie,8,arabe,7,Informatique,4000,0
Anapec,eljadida,education,8,arabe,7,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,ouarzazate,agriculture,2,arabe,6,Informatique,4000,0
Anapec,meknes,industrie,7,arabe,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,3,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,marrakech,industrie,2,anglais,7,Informatique,4000,0
Anapec,autreville,industrie,8,arabe,7,Informatique,4000,0
Anapec,tetouan,industrie,1,anglais,2,Informatique,4000,0
Anapec,meknes,industrie,7,arabe,7,Informatique,4000,0
Anapec,sidikacem,industrie,8,arabe,7,Informatique,4000,0
Anapec,eljadida,education,8,arabe,7,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,ouarzazate,agriculture,2,arabe,6,Informatique,4000,0
Anapec,rabat,industrie,8,arabe,6,Informatique,4000,0
Anapec,marrakech,industrie,1,arabe,1,Informatique,4000,0
Anapec,marrakech,industrie,8,arabe,7,Informatique,4000,0
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,darbouazza,industrie,1,arabe,7,Informatique,4000,1
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,7000.0,1
Emploi.ma,darbouazza,industrie,7,arabe,7,Informatique,4000,1
Emploi.ma,laayoune,industrie,1,arabe,7,Informatique,4500.0,0
Emploi.ma,brussels,industrie,1,arabe,7,Informatique,4000,1
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,4000,1
Emploi.ma,rabat,industrie,1,arabe,7,Informatique,5500.0,1
Emploi.ma,rabat,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,rabat,industrie,7,arabe,7,Informatique,9000.0,0
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,4000,1
Emploi.ma,marrakech,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,marrakech,industrie,7,arabe,7,Informatique,7000.0,1
Emploi.ma,autreville,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,laayoune,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,marrakech,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,oujda,industrie,1,arabe,7,Informatique,4000,0
Emploi.ma,casablanca,industrie,1,arabe,7,Informatique,9000.0,1
Emploi.ma,fes,industrie,1,arabe,7,Informatique,4000,1
Emploi.ma,autreville,industrie,2,arabe,7,Informatique,7000.0,0
Emploi.ma,autreville,industrie,1,arabe,7,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,7,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,industrie,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,3,arabe,7,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,5,Informatique,4000,1
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
Rekrute,casablanca,informatique,1,arabe,3,Informatique,4000,2
